-,-,-
-0.07,-9.75,0.69
-0.01,-9.79,0.69
0.31,-9.70,0.85
0.34,-9.62,0.83
0.66,-9.35,0.96
-2.55,-8.92,2.42
-6.62,-8.24,-1.01
-8.87,-6.39,-3.41
-8.09,-2.21,0.72
7.68,5.59,4.10
9.84,3.00,-3.04
20.45,5.60,4.63
10.70,-6.32,17.67
-1.24,-22.09,18.44
-3.39,-28.71,19.55
-0.92,-28.68,16.37
-8.05,-23.77,18.79
-14.42,-14.64,15.90
-20.38,-10.04,10.76
-23.61,-8.91,4.92
-18.23,-4.75,4.70
-13.46,-0.08,5.10
-6.52,3.57,4.77
4.27,5.25,6.46




-,-,-
0.33,-9.56,-0.46
0.22,-9.54,-0.57
0.19,-9.61,-0.26
-0.09,-10.38,-0.45
0.40,-12.40,-0.37
6.27,-11.14,3.25
16.57,-1.92,0.90
19.75,5.85,-0.89
7.98,8.55,2.05
-3.79,6.24,3.51
-17.91,-2.50,6.58
-20.86,-10.21,4.44
-23.46,-15.02,9.72
-10.54,-11.93,10.60
-7.54,-14.77,17.91
0.65,-16.80,17.11
0.42,-20.21,16.78
4.69,-16.05,24.06
17.86,-8.12,23.87
13.43,-9.98,12.97
21.10,1.79,15.03
26.73,13.10,4.87
17.32,12.91,-4.11
-3.64,6.35,-0.33
-10.69,-1.69,3.09
-20.38,-9.75,4.28
-8.77,-9.66,0.38
-4.54,-9.79,-2.25
-2.25,-9.22,-0.91
-0.42,-7.32,0.79




-,-,-
9.76,0.99,0.23
9.95,0.90,0.44
10.01,0.78,1.01
10.15,0.81,0.98
12.30,0.64,8.90
9.82,2.61,12.54
5.80,5.01,9.91
9.30,10.00,4.11
8.40,10.51,-2.62
6.30,7.83,-3.56
9.93,6.69,-7.36
10.57,3.42,-6.65
11.10,0.76,-10.42
12.36,-1.97,-14.25
12.33,-2.80,-14.46
13.93,-2.06,-10.55
13.59,-0.13,-7.40
15.23,-0.88,9.10
19.79,0.49,14.95
11.39,-2.97,10.08
7.22,-2.99,6.53
8.22,-1.54,4.40
7.03,0.23,7.59
6.30,3.55,6.59
11.13,5.93,15.09
6.99,6.64,10.26
14.37,8.90,11.84




-,-,-
10.82,0.18,-1.50
9.85,-1.09,-3.58
10.10,1.11,-9.96
11.12,4.62,-12.13
9.04,6.39,-9.58
5.83,8.72,-7.06
7.05,11.91,-3.16
7.38,13.24,1.21
9.59,12.81,5.50
10.45,10.81,11.13
14.06,8.38,17.01
6.48,2.31,14.93
9.60,0.34,16.22
8.66,-0.14,10.58
10.49,3.55,8.69
14.91,7.74,1.59
15.66,3.95,-3.24
15.66,-2.23,-3.91
16.63,-1.61,-5.21
10.25,-3.68,-3.77
10.12,-1.91,-10.20
12.76,0.45,-11.18
14.06,4.39,-10.13
11.31,7.10,-11.32
6.97,7.89,-3.94
5.73,6.97,5.60
8.96,6.60,9.03
12.88,6.03,8.49
10.72,3.67,7.63
7.09,0.78,5.67




-,-,-
-0.03,0.84,9.41
0.11,0.82,9.62
0.41,0.71,8.90
3.96,0.61,10.45
5.18,0.13,10.87
11.07,3.11,11.49
12.73,7.55,9.05
8.67,13.01,5.55
7.35,17.91,4.67
-8.12,18.75,7.41
-14.88,12.51,6.43
-23.20,2.35,12.72
-24.14,-4.63,16.22
-13.59,-2.53,12.93
-3.38,1.25,14.03
-3.11,5.39,18.93
10.74,4.66,16.28
12.25,-1.09,20.40
4.26,-3.70,13.44
12.26,0.23,8.11
14.17,3.96,5.12
19.55,4.28,0.70
16.20,6.38,5.70
11.64,7.22,1.46
-1.29,6.86,10.11
-8.66,6.27,9.51
-9.95,5.69,16.42
-3.45,4.95,13.92
-1.44,2.73,9.78




-,-,-
0.63,0.83,9.34
0.75,0.86,9.36
0.48,0.79,9.19
1.03,0.90,9.23
0.77,0.79,9.33
1.15,0.82,9.39
0.92,0.98,10.32
-6.51,1.05,10.14
-13.14,2.86,11.05
-12.57,5.70,12.09
-4.03,10.79,9.46
3.13,10.93,7.92
14.16,10.74,5.70
14.50,6.62,6.08
19.23,4.37,4.53
17.82,0.70,7.32
15.82,-2.32,14.28
-0.40,-7.62,23.33
-0.22,-8.04,21.24
-7.10,-5.81,19.54
-3.32,0.78,15.13
-9.22,2.49,14.87
-23.03,3.33,18.77
-8.35,10.08,14.91
-14.56,9.00,16.50
-5.94,10.65,6.85
2.07,10.19,4.50
5.52,8.69,3.21
17.21,6.85,1.77
14.42,1.86,11.74
5.37,-1.56,14.13




